iter	Passed	Remaining
0	2	2641
1	5	2934
2	7	2643
3	10	2715
4	13	2692
5	15	2488
6	16	2328
7	17	2223
8	19	2095
9	20	2030
10	21	1961
11	23	1905
12	25	1908
13	26	1877
14	28	1868
15	30	1850
16	31	1834
17	33	1804
18	34	1771
19	35	1749
20	36	1722
21	38	1701
22	39	1684
23	41	1669
24	42	1648
25	42	1603
26	43	1585
27	45	1569
28	45	1535
29	47	1521
30	48	1513
31	49	1508
32	51	1502
33	52	1499
34	54	1501
35	55	1496
36	57	1490
37	58	1483
38	59	1476
39	61	1470
40	62	1465
41	64	1461
42	65	1454
43	66	1445
44	67	1437
45	69	1434
46	70	1428
47	71	1422
48	72	1416
49	74	1410
50	75	1403
51	76	1397
52	77	1387
53	78	1379
54	79	1373
55	81	1369
56	82	1364
57	83	1357
58	85	1360
59	86	1361
60	88	1360
61	89	1359
62	91	1358
63	92	1358
64	94	1359
65	96	1359
66	97	1359
67	99	1360
68	100	1360
69	102	1359
70	103	1359
71	105	1356
72	106	1352
73	107	1347
74	108	1344
75	110	1340
76	111	1336
77	112	1332
78	113	1328
79	115	1324
80	116	1321
81	117	1313
82	118	1309
83	119	1306
84	120	1302
85	122	1300
86	123	1300
87	125	1298
88	126	1295
89	127	1292
90	129	1290
91	130	1286
92	131	1285
93	132	1277
94	133	1275
95	135	1274
96	136	1271
97	138	1270
98	139	1269
99	140	1267
100	142	1266
101	143	1262
102	144	1261
103	146	1260
104	147	1258
105	149	1257
106	150	1255
107	151	1253
108	153	1252
109	153	1245
110	155	1244
111	156	1241
112	157	1239
113	159	1235
114	160	1235
115	162	1235
116	163	1235
117	165	1233
118	166	1231
119	167	1230
120	169	1229
121	170	1227
122	171	1225
123	173	1223
124	174	1222
125	175	1220
126	177	1218
127	178	1217
128	179	1212
129	180	1210
130	182	1208
131	183	1205
132	184	1203
133	185	1198
134	186	1197
135	188	1197
136	190	1198
137	191	1197
138	193	1197
139	194	1195
140	195	1193
141	197	1192
142	198	1192
143	200	1190
144	201	1188
145	202	1187
146	204	1185
147	205	1184
148	207	1183
149	208	1181
150	209	1179
151	211	1179
152	212	1177
153	214	1176
154	215	1174
155	216	1173
156	217	1170
157	219	1170
158	220	1168
159	222	1167
160	223	1166
161	225	1165
162	226	1163
163	228	1162
164	229	1161
165	230	1157
166	231	1155
167	233	1154
168	234	1153
169	236	1152
170	237	1151
171	238	1149
172	240	1148
173	241	1146
174	242	1144
175	244	1143
176	245	1142
177	247	1141
178	248	1138
179	249	1137
180	251	1135
181	252	1134
182	253	1133
183	255	1131
184	256	1130
185	257	1128
186	259	1127
187	260	1125
188	262	1124
189	263	1123
190	265	1122
191	266	1121
192	267	1120
193	269	1118
194	270	1117
195	271	1115
196	273	1113
197	274	1112
198	276	1111
199	277	1109
200	278	1108
201	279	1104
202	281	1103
203	282	1101
204	283	1099
205	284	1097
206	285	1095
207	287	1093
208	288	1091
209	289	1090
210	291	1088
211	292	1087
212	293	1086
213	295	1084
214	296	1082
215	297	1081
216	299	1079
217	300	1077
218	301	1075
219	302	1073
220	303	1070
221	304	1068
222	306	1066
223	307	1064
224	308	1063
225	310	1062
226	311	1061
227	313	1059
228	314	1058
229	315	1056
230	316	1054
231	317	1052
232	318	1050
233	320	1048
